municipality,warrant_rev,warrant_rev_adj,warrant_rev_capita,warrant_rev_capita_adj,uncond_grant_rev,uncond_grant_rev_adj,uncond_grant_rev_capita,uncond_grant_rev_capita_adj,other_govt_serv_rev,other_govt_serv_rev_adj,other_govt_serv_rev_capita,other_govt_serv_rev_capita_adj,sale_of_serv_rev,sale_of_serv_rev_adj,sale_of_serv_rev_capita,sale_of_serv_rev_capita_adj,own_source_rev,own_source_rev_adj,own_source_rev_capita,own_source_rev_capita_adj,cond_transfer_rev,cond_transfer_rev_adj,cond_transfer_rev_capita,cond_transfer_rev_capita_adj,other_transfer_rev,other_transfer_rev_adj,other_transfer_rev_capita,other_transfer_rev_capita_adj,biennial_surplus_rev,biennial_surplus_rev_adj,biennial_surplus_rev_capita,biennial_surplus_rev_capita_adj,total_rev,total_rev_adj,total_rev_capita,total_rev_capita_adj
Alma,135546,142529.9684542587,434.4423076923077,456.82682196877784,24054,25293.37539432177,77.09615384615384,81.06851087923644,10312,10843.322818086226,33.05128205128205,34.75423980155842,19000,19978.96950578339,60.8974358974359,64.03515867238265,200,210.30494216614093,0.6410256410256411,0.6740543018145543,7131,7498.422712933755,22.85576923076923,24.033406131197932,0,0.0,0.0,0.0,13613,14314.405888538382,43.631410256410255,45.87950605300763,209856,220668.76971608834,672.6153846153846,707.2716978079754
Aroostook,98098,103152.47108307046,247.09823677581863,259.82990197246966,45972,48340.69400630915,115.7984886649874,121.76497230808351,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7000,7360.672975814932,17.632241813602015,18.540737974344918,0,0.0,0.0,0.0,5000,5257.623554153523,12.594458438287154,13.243384267389228,0,0.0,0.0,0.0,156070,164111.46161934806,393.1234256926952,413.3789965222873
Atholville,1205321,1267424.8159831758,875.9600290697674,921.0936162668429,147504,155104.10094637226,107.19767441860465,112.72100359474729,0,0.0,0.0,0.0,3200,3364.879074658255,2.3255813953488373,2.4454063042574528,69743,73336.48790746584,50.68531976744186,53.296866211821104,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3068,3226.077812828602,2.229651162790698,2.344533294206833,1428836,1502456.3617245008,1038.3982558139535,1091.9014256718756
Baker-Brook,240809,253216.61409043116,382.84419713831477,402.57013368907974,80393,84535.22607781284,127.8108108108108,134.39622587887575,36180,38044.16403785489,57.51987281399046,60.483567627750226,0,0.0,0.0,0.0,6800,7150.368033648791,10.81081081081081,11.367834711683294,0,0.0,0.0,0.0,0,0.0,0.0,0.0,57,59.93690851735016,0.09062003179650238,0.09528920273028643,364239,383006.30914826505,579.0763116057234,608.9130511101193
Balmoral,623874,656018.927444795,315.88556962025314,332.1614822505291,225039,236634.06940063095,113.94379746835443,119.81471868386377,85425,89826.49842271295,43.25316455696203,45.48177135327238,0,0.0,0.0,0.0,4096,4307.045215562566,2.0739240506329115,2.180782387626616,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7018,7379.600420609885,3.5534177215189873,3.7365065420809547,945452,994166.1409043113,478.7098734177215,503.37526121737284
Bas-Caraquet,527875,555073.6067297582,297.3943661971831,312.71752491817364,248957,261784.43743427974,140.2574647887324,147.48419010381957,50425,53023.13354363828,28.408450704225352,29.87218791190889,100,105.15247108307047,0.056338028169014086,0.05924082877919463,11100,11671.92429022082,6.253521126760563,6.575731994490603,0,0.0,0.0,0.0,0,0.0,0.0,0.0,401,421.66140904311254,0.2259154929577465,0.23755572340457046,838858,882079.9158780233,472.5960563380282,496.9464314805765
Bath,243219,255750.78864353316,386.6756756756757,406.59902805013223,54724,57543.63827549948,87.00158982511924,91.48432158267008,18855,19826.498422712935,29.976152623211448,31.520665218939484,24450,25709.77917981073,38.871224165341815,40.874052750096546,5256,5526.813880126184,8.356120826709063,8.786667535971675,6000,6309.148264984228,9.538950715421304,10.03044239266173,0,0.0,0.0,0.0,0,0.0,0.0,0.0,352504,370666.6666666667,560.4197138314786,589.2951775304717
Bathurst,10890670,11451808.62250263,788.3221136445892,828.9401825915766,2899352,3048740.273396425,209.86985161056822,220.68333502688563,136321,143344.90010515248,9.8676076728194,10.37603330475226,914303,961412.1976866458,66.18190372783206,69.59190717963415,277383,291675.07886435336,20.078393051031487,21.112926446931116,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15118029,15896981.072555207,1094.3198697068403,1150.7043845497797
Belledune,1854036,1949564.6687697163,900.0174757281553,946.3906159076292,47172,49602.523659305996,22.89902912621359,24.07889498024563,311019,327044.16403785493,150.98009708737865,158.75930293099753,57000,59936.908517350166,27.66990291262136,29.09558665890785,21725,22844.37434279706,10.54611650485437,11.089502108153912,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1644,1728.7066246056784,0.7980582524271844,0.8391779731095526,2292596,2410721.3459516303,1112.9106796116505,1170.2530805590438
Beresford,1939200,2039116.7192429025,410.8474576271187,432.0162540768861,558068,586822.2923238697,118.23474576271187,124.32675684827747,68193,71706.62460567824,14.447669491525424,15.192081484253864,72320,76046.26708727656,15.322033898305085,16.111497264253508,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2637781,2773691.9032597267,558.851906779661,587.6465896736709
